file,STRATEGY_HIDDEN_UNITS,RESULTS_HIDDEN_UNITS,SNS84,BASE-P/R/C,ADULT
_20160112133022_,3,20,0.7455516,-0.110005,0.95462453
_20160112131611_,3,20,0.7675239,-0.08629913,0.9489662
_20160112132238_,3,20,0.7247053,-0.107211,0.9577359
_20160112131732_,3,20,0.7380127,-0.1064523,0.9580557
_20160112133143_,3,20,0.769344,-0.082241274,0.9583699
_20160112132905_,3,20,0.7256484,-0.14080544,0.9175684
_20160112132511_,3,20,0.7293363,-0.092244945,0.9440504
_20160112132350_,3,20,0.7125912,-0.1030992,0.9044282
_20160112132747_,3,20,0.7590262,-0.13206846,0.9487451
_20160112132632_,3,20,0.7254551,-0.10875571,0.93611556
_20160112132003_,3,20,0.7256585,-0.109416366,0.9383293
_20160112131448_,3,20,0.75441414,-0.108214304,0.9497546
_20160112131850_,3,20,0.7532042,-0.14321946,0.9412127
_20160112132120_,3,20,0.7447529,-0.091952026,0.9614419
_20160112133259_,3,20,0.7474664,-0.112894684,0.957066
_20160112133056_,9,10,0.5007885,-0.11427112,0.7467715
_20160112132941_,9,10,0.5835674,-0.08562698,0.7187579
_20160112131525_,9,10,0.6619728,-0.07161285,0.84854275
_20160112133334_,9,10,0.6506825,-0.07334094,0.82866687
_20160112132821_,9,10,0.69718486,-0.08917917,0.86260504
_20160112132150_,9,10,0.6115351,-0.044648074,0.739961
_20160112131806_,9,10,0.62588936,-0.11161693,0.78432345
_20160112131649_,9,10,0.6654918,-0.124146305,0.88092625
_20160112132543_,9,10,0.5774119,-0.20187975,0.7685926
_20160112131921_,9,10,0.70669454,-0.08768646,0.829555
_20160112133213_,9,10,0.55269504,-0.17099509,0.76209456
_20160112132432_,9,10,0.6945504,-0.17258549,0.9294754
_20160112132312_,9,10,0.6135577,-0.12788895,0.7985233
_20160112132703_,9,10,0.5989309,-0.134793,0.7378499
_20160112132039_,9,10,0.60365963,-0.14984845,0.78353554
_20160112133008_,3,10,0.6606112,-0.081421785,0.8117187
_20160112131714_,3,10,0.67894363,-0.13438605,0.8692161
_20160112132614_,3,10,0.60566866,-0.15656468,0.8091818
_20160112132845_,3,10,0.6582436,-0.15313378,0.8034217
_20160112132219_,3,10,0.65618163,-0.10741826,0.8721544
_20160112132335_,3,10,0.5692749,-0.05161298,0.75953937
_20160112131830_,3,10,0.5920786,-0.14610113,0.7346944
_20160112131552_,3,10,0.62629557,-0.1403418,0.75075155
_20160112131946_,3,10,0.6562226,-0.13234304,0.85132074
_20160112133125_,3,10,0.6550192,-0.1188305,0.79589057
_20160112132729_,3,10,0.6547504,-0.12305108,0.8290866
_20160112133241_,3,10,0.5269032,-0.088074096,0.7290234
_20160112132103_,3,10,0.62331116,-0.1576358,0.7848742
_20160112132455_,3,10,0.53312343,-0.05070411,0.7765131
_20160112131427_,3,10,0.60021925,-0.14950943,0.788752
_20160112132554_,9,15,0.71765625,-0.087296814,0.9193273
_20160112132712_,9,15,0.67846674,-0.11282761,0.9091184
_20160112131536_,9,15,0.7246076,-0.07505049,0.92984766
_20160112132048_,9,15,0.68448764,-0.09546373,0.8987593
_20160112132440_,9,15,0.72114897,-0.06584498,0.93476665
_20160112133343_,9,15,0.7555986,-0.13199323,0.92763144
_20160112131657_,9,15,0.7462575,-0.0656457,0.91358256
_20160112132949_,9,15,0.7025078,-0.047891438,0.90055686
_20160112131929_,9,15,0.6954039,-0.14184032,0.88593954
_20160112131816_,9,15,0.7184032,-0.0767568,0.9375915
_20160112132320_,9,15,0.7331097,-0.07654785,0.9291669
_20160112133106_,9,15,0.6933382,-0.080579996,0.9213578
_20160112132828_,9,15,0.7117552,-0.09675992,0.911341
_20160112133223_,9,15,0.71705395,-0.11280313,0.9357855
_20160112132158_,9,15,0.70432925,-0.15882388,0.9069256
_20160112132208_,9,20,0.7264287,-0.09537816,0.94256353
_20160112131545_,9,20,0.75584424,-0.09635173,0.9703819
_20160112132327_,9,20,0.722294,-0.14742108,0.94685495
_20160112131939_,9,20,0.7571378,-0.091116734,0.96497816
_20160112133234_,9,20,0.7460041,-0.073405616,0.9544898
_20160112131823_,9,20,0.7391611,-0.086931236,0.95836073
_20160112132719_,9,20,0.6897628,-0.08833532,0.9241336
_20160112132839_,9,20,0.7050691,-0.13027762,0.9358885
_20160112133349_,9,20,0.7530023,-0.0820446,0.95110184
_20160112132959_,9,20,0.731112,-0.14659983,0.95235795
_20160112133114_,9,20,0.6696685,-0.0533085,0.88453734
_20160112132448_,9,20,0.7496727,-0.11517789,0.944837
_20160112132604_,9,20,0.69523656,-0.1085289,0.93859285
_20160112132055_,9,20,0.74215347,-0.10108985,0.95019746
_20160112131707_,9,20,0.7514663,-0.13543366,0.9540388
_20160112131955_,3,15,0.7204399,-0.14693321,0.8994984
_20160112132737_,3,15,0.69855773,-0.09370301,0.92348313
_20160112133249_,3,15,0.7060368,-0.047941465,0.9222529
_20160112132623_,3,15,0.7456837,-0.105490476,0.94966954
_20160112132227_,3,15,0.70651126,-0.09425353,0.92476004
_20160112131723_,3,15,0.7199177,-0.12236726,0.8993563
_20160112132503_,3,15,0.7091148,-0.11523723,0.9205555
_20160112133133_,3,15,0.7405164,-0.08979103,0.94063866
_20160112131839_,3,15,0.72935766,-0.11575609,0.9205037
_20160112131602_,3,15,0.71070564,-0.10785338,0.9128421
_20160112132855_,3,15,0.6610092,-0.064968586,0.87477404
_20160112133015_,3,15,0.7316182,-0.09811589,0.90118563
_20160112132343_,3,15,0.7205912,-0.124089316,0.9321245
_20160112131437_,3,15,0.70592594,-0.10343102,0.93583035
_20160112132112_,3,15,0.7461227,-0.08718709,0.9544437
_20160112132422_,6,20,0.6914507,-0.06573567,0.9047315
_20160112131640_,6,20,0.756886,-0.12740064,0.94490737
_20160112131518_,6,20,0.7424483,-0.12485312,0.95135367
_20160112131914_,6,20,0.74454,-0.097637266,0.9602901
_20160112132143_,6,20,0.7501012,-0.107382245,0.9574554
_20160112132302_,6,20,0.60922676,-0.0687674,0.8409789
_20160112132535_,6,20,0.7539481,-0.12653673,0.9561251
_20160112133206_,6,20,0.7391936,-0.105861485,0.96880656
_20160112133049_,6,20,0.7397224,-0.09988105,0.9562416
_20160112132933_,6,20,0.7365479,-0.13848841,0.9404199
_20160112131758_,6,20,0.76506084,-0.089871116,0.96465933
_20160112132030_,6,20,0.74727345,-0.10142248,0.9583179
_20160112132812_,6,20,0.74317354,-0.10957257,0.9626776
_20160112133324_,6,20,0.726049,-0.02715665,0.8969432
_20160112132656_,6,20,0.7170205,-0.18040211,0.92932785
_20160112132410_,6,15,0.709199,-0.121082366,0.9345361
_20160112133039_,6,15,0.6388328,-0.076310195,0.8746956
_20160112132020_,6,15,0.7234987,-0.08726853,0.9214621
_20160112132647_,6,15,0.7504432,-0.044680294,0.94198644
_20160112131632_,6,15,0.7124705,-0.10678203,0.9209997
_20160112132923_,6,15,0.7331702,-0.10243025,0.9424259
_20160112133317_,6,15,0.7304177,-0.12609181,0.93306065
_20160112132253_,6,15,0.7115696,-0.13117498,0.89216655
_20160112131507_,6,15,0.656161,-0.09680851,0.888963
_20160112132803_,6,15,0.75361747,-0.09903511,0.92864096
_20160112133158_,6,15,0.6842399,-0.11550399,0.8999644
_20160112131751_,6,15,0.72397166,-0.10429164,0.9308301
_20160112132135_,6,15,0.73244506,-0.07753093,0.9311649
_20160112131907_,6,15,0.74689233,-0.07686884,0.9414142
_20160112132528_,6,15,0.7492158,-0.09109347,0.938352
_20160112132640_,6,10,0.59452,-0.11590607,0.8209458
_20160112132011_,6,10,0.6596921,-0.06216363,0.77431095
_20160112131456_,6,10,0.6335176,-0.031721897,0.8443905
_20160112131621_,6,10,0.54393595,-0.034078553,0.70198727
_20160112132518_,6,10,0.5494361,-0.10982235,0.7478641
_20160112132754_,6,10,0.6620822,-0.1252587,0.83165455
_20160112133149_,6,10,0.6896846,-0.0507478,0.85039324
_20160112132400_,6,10,0.6014887,-0.12537128,0.82712066
_20160112132246_,6,10,0.6753379,-0.18555461,0.86659443
_20160112133029_,6,10,0.6480526,-0.14364974,0.81638867
_20160112132914_,6,10,0.6070891,-0.13687949,0.7863641
_20160112132127_,6,10,0.59265786,-0.23532699,0.752824
_20160112133309_,6,10,0.65584236,-0.11908932,0.8144683
_20160112131739_,6,10,0.5721204,-0.10851555,0.77829987
_20160112131857_,6,10,0.6163077,-0.0700605,0.7583021
